"variable","SD"
"ca","0.105219751505619"
"cl","3.57132486318547"
"k","0.369245385823366"
"mg","0.143116414854338"
"sodium","3.07405285693734"
"p","0.171296548304147"
"ferritin","1.00519389250569"
"hb","14.3540017802821"
"hct","0.0396403112040641"
"iron","6.06508943631919"
"mch","2.14490836058505"
"mchc","10.6434135562353"
"rbc","0.474999155400601"
"rdw","0.0872270103059685"
"alb","3.76786588905678"
"alkp","0.328111504411923"
"alt","0.489501057136248"
"ast","0.327877471397733"
"ggt","0.615824505933957"
"ldh","0.588473808254448"
"tot_prot","5.02867765858799"
"uric_ac","83.1043107340149"
"baso_p","0.0265305051784979"
"lympho_p","0.0905548817362601"
"mono_p","0.0339541965208654"
"neut_p","0.0991297392503612"
"wbc","0.286977133144185"
"trig","0.503868631758432"
"hdl","0.421558078905444"
"ldl","0.948309927007168"
"chol","1.07360002998291"
"chol_hdl","1.20857933759552"
"vitb12","0.531520034787605"
"folate","0.956798695453606"
"vita","1.04421980971705"
"g_toco","0.676500506887974"
"b_cryp","0.718543967691973"
"a_carot","2.20359008430451"
"vitd_tot","0.479649909906213"
