"","ca","cl","k","mg","sodium","p","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl","vitb12","folate","vita","g_toco","b_cryp","a_carot","vitd_tot"
"ca",1,0.000822226550773955,0.159457396450621,0.0655045287171872,0.147937933544262,0.10998541317354,0.126302163231889,0.1769353566055,0.188564363555336,0.100211767896433,0.006025129557161,0.003951699975156,0.166805748778743,-0.0410107696612632,0.442713754662383,0.0214689074108377,0.0134648886927506,0.114157988191122,0.0813295595930164,0.107900018130955,0.319768121670147,0.114912627839144,-0.0147398994165874,0.0939157240114376,0.0209526755876367,-0.0840714063688072,-0.0199962869523469,0.0366370665485358,0.0534317914143917,0.144826065212443,0.160856065413572,0.0663000362070544,0.0303471004697892,-0.0621289333974797,-0.0308980636670805,-0.0363007016915612,0.0502493880554794,-0.107605108126681,0.00993113086178696
"cl",0.000822226550773955,1,0.155304486758095,0.099894081471931,0.499255309909827,-0.00664227193897242,-0.0642182167875231,-0.108020771392729,-0.0985830584427526,-0.110410455811561,-0.0258739887862815,-0.060641808465483,-0.0912146454812694,0.138157767703835,-0.0683570612059504,0.0569056039799523,-0.131120923119277,-0.0959667846420358,-0.0910736605103594,0.21557977453865,-0.193532235507896,-0.0550273601953713,-0.0674770316854919,0.0796617777189972,-0.1696942524683,-0.0141553279620919,-0.0714688540868821,-0.0208764560730522,-0.0551393924674769,0.0619923484591917,0.0205348302904603,0.0385699997116393,-0.139245565750925,-0.317216452697493,-0.398056393375461,-0.243995114506448,0.0538026578254186,-0.355771202720118,-0.0224572613083187
"k",0.159457396450621,0.155304486758095,1,0.0688863298374955,0.219888492334475,0.0510787177901497,0.0914872486258517,0.0296347647584086,0.0662825008583957,-0.021649605187526,0.0146870444315919,-0.107281191588093,0.0199626015175731,0.153755834727146,0.0723219412911757,0.113041672986658,0.024766367020765,0.0394129593731215,0.110912683363065,0.211686053036659,0.0045407491264672,0.123217668568802,-0.0158856189180446,-0.0175105713131147,0.0140605511662893,-0.00391025083916532,-0.031918138871887,0.0103482818338605,-0.0737536578300812,0.102847540580506,0.0607071253790023,0.106656943190915,-0.00414415891996802,-0.119308427846508,-0.166651044640211,-0.135522631839047,-0.0373092032613038,-0.255906788749583,0.0495384510505142
"mg",0.0655045287171872,0.099894081471931,0.0688863298374955,1,0.0908655322426689,NA,-0.0679828212589965,0.0274346168635909,0.045968821307025,-0.00474520790615678,0.0104263797160571,-0.0511471245421402,0.0180206020872508,0.0377856447320029,0.0712079297206924,0.0483261079823491,-0.0619579181308127,0.0102954662890711,-0.013834031335849,0.0912033489382708,0.0245889565540638,-0.00545986154489543,0.0174728015979504,-0.032274732883933,0.0333023251510244,0.0264507430482184,-0.00363628272696814,0.0232566542049953,0.00855098710440639,0.0357506240154235,0.0364335500734629,0.0115603124479991,-0.010209300833094,-0.0153502196497875,0.00155983746610573,0.00269944997306035,0.0156275458492368,0.000957198419562915,NA
"sodium",0.147937933544262,0.499255309909827,0.219888492334475,0.0908655322426689,1,-0.00567055045190008,0.0927221254085819,0.0487880107321641,0.0947905182565343,-0.0393897005573123,-0.0135983991936437,-0.133350779438556,0.0558333126439746,0.184782416288583,0.165433669611314,0.14306001204634,0.0664625966969184,0.0546263482313318,0.079281451419234,0.483189979853567,0.0281716210723071,0.107025486103174,-0.0863929432075766,0.131125471213619,-0.0557234027297432,-0.110990163870336,-0.192020913191883,-0.0671041761406784,-0.0289162059424787,0.117583628024778,0.0640347944780446,0.0540208252038376,0.0109836554255971,-0.217984863004518,-0.510102910467615,-0.324316253408654,0.0490096233230405,-0.548425076377546,-0.0672681415037269
"p",0.10998541317354,-0.00664227193897242,0.0510787177901497,NA,-0.00567055045190008,1,-0.119069308776456,-0.184385781572508,-0.21038642842062,-0.0719035943929513,0.0512384829320238,0.0365281536478165,-0.221926037503469,0.0558481953498006,-0.0722484360119385,0.0530254647056671,-0.00739425377548865,-0.0175829261756693,-0.0580962056370467,-0.00290828041049201,-0.0658877085287392,-0.105130858847689,0.0605166597640449,-0.0168588900589943,-0.037577734108336,0.0162644110609662,0.156076875210885,0.00193204890207655,0.155228033188231,-0.0191531944437844,0.0552123499664147,-0.0917572510952944,-0.00550867694620241,0.0273363221518642,-0.0227691927468437,0.0393701872765994,-0.0100772005694651,-0.00835370084994498,0.0199062983763605
"ferritin",0.126302163231889,-0.0642182167875231,0.0914872486258517,-0.0679828212589965,0.0927221254085819,-0.119069308776456,1,0.383378718200853,0.349956298673465,0.264929233325588,0.270650136389543,0.199828919629876,0.201423216187168,-0.181484813121659,0.213063518472252,0.056406086268692,0.246501654886807,0.207525962258729,0.344696389005361,0.129539198456358,0.156022897985855,0.311514359892689,-0.0641726877526468,0.0619282020558674,0.0631583604038173,-0.0845112555731215,-0.0240639710437851,0.108914558304002,-0.18169660199205,0.0803412210191623,0.0330105911267832,0.206781331184857,0.0590134553631395,-0.0813790121445222,0.01425206463066,-0.0341567120118591,-0.147087004874361,-0.169487465147804,-0.0467112313272361
"hb",0.1769353566055,-0.108020771392729,0.0296347647584086,0.0274346168635909,0.0487880107321641,-0.184385781572508,0.383378718200853,1,0.957130156360861,0.365304353032928,0.353325536055678,0.415517755096634,0.759615853741113,-0.371529704878085,0.36784229690519,-0.0321243429197908,0.251320567066286,0.173646931888776,0.24215101042244,-0.0241562180073159,0.192215477311353,0.219492259823641,-0.0434879673583386,0.0070191120732042,0.0970648041716362,-0.0326959961678504,0.0303749556272131,0.112748177416516,-0.189007286515933,0.0987986005065261,0.0398339156294904,0.205204934993537,-0.0288555035612298,-0.0249604863166048,0.0956657270031979,0.0131670195661196,-0.0620078896843976,-0.0291080388987831,0.133472005271619
"hct",0.188564363555336,-0.0985830584427526,0.0662825008583957,0.045968821307025,0.0947905182565343,-0.21038642842062,0.349956298673465,0.957130156360861,1,0.310877176792097,0.214744365765088,0.143308468272809,0.813798402860357,-0.28252834898439,0.364060674509746,0.0019896443807508,0.242051350124195,0.17413529369453,0.250960436609461,0.00753953197302807,0.213957657626474,0.226182850382374,-0.0319192909479591,0.0171162178360904,0.11722428218009,-0.0506000094812638,0.0184688358852589,0.0990915367816486,-0.182187574613632,0.102290338998571,0.0410181258587687,0.200828208948685,-0.0181130946203321,-0.016483303495364,0.0823671497329019,0.0153973060735004,-0.0558865223538332,-0.0466054742463305,0.0937992754453547
"iron",0.100211767896433,-0.110410455811561,-0.021649605187526,-0.00474520790615678,-0.0393897005573123,-0.0719035943929513,0.264929233325588,0.365304353032928,0.310877176792097,1,0.306455757638079,0.256183188008923,0.156157959160643,-0.275745715677624,0.201865328614774,-0.125631476396258,0.154709727102337,0.174181302566551,0.100187283439807,0.0106031946293591,0.0958306168965626,0.0661039772824999,0.011130207135987,0.0667370408091302,0.128929157713118,-0.0905481462719335,-0.0838834748621078,0.0301275281583015,0.0857705297760994,2.78047474438587e-05,0.0374233169067236,-0.0411078906343453,0.0160540057640953,0.106112079809505,0.129747909177084,-0.0512827975257353,0.0177357955802451,0.0697078020243982,0.19895615924966
