"","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","ca","cl","k","sodium","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl"
"ferritin",1,0.388970121011063,0.359301972775226,0.294634411371865,0.276432028284153,0.188040692234102,0.20439183702789,-0.162460756539043,0.131472697752529,-0.0831019097818349,0.0721703193956523,0.0786129890304649,0.195211491959722,0.0567807973683523,0.208252063032969,0.175899632954987,0.30974336798314,0.128707290712344,0.135410557913468,0.295682467180529,-0.0513771827127419,0.015278774505532,0.0587173338822199,-0.0385265406955969,0.0104532372007939,0.135329599284547,-0.163611115255822,0.0875182118122893,0.052990173430447,0.201958741108921
"hb",0.388970121011063,1,0.961775987621792,0.369221213178636,0.363385060045429,0.413243962473571,0.768355553172612,-0.383560996985452,0.170309735058189,-0.122947884243063,0.0238216186357498,0.0311362373358649,0.351798354553232,-0.0374917412567876,0.244185789311075,0.151334963511726,0.237670510386857,-0.0740832045711236,0.176998752310875,0.208192555066827,-0.0324902441786504,-0.0431485043330102,0.0757378866354101,0.0188522396416333,0.0809338932997121,0.1596862542508,-0.205225024326471,0.100587633855452,0.0502708789321508,0.229034370098301
"hct",0.359301972775226,0.961775987621792,1,0.324348700549595,0.231689688415419,0.161864658585026,0.822096960055449,-0.302726095509999,0.176321631925105,-0.116140663448983,0.0509389326645488,0.0663836172409596,0.343600936684387,-0.00562072414793833,0.238714277073333,0.153478278447602,0.242419795453999,-0.0446294889108384,0.193399246544616,0.216917649576221,-0.0286191034572939,-0.0367146234889717,0.0897653557504879,0.0062390264218443,0.0680168716325753,0.145228198720517,-0.198928030020661,0.102148093271718,0.0500319988921005,0.22380613566646
"iron",0.294634411371865,0.369221213178636,0.324348700549595,1,0.32232216649958,0.227485572146337,0.148879038993001,-0.261570154001719,0.126691636602501,-0.0965960633875022,-0.022699516824989,-0.0090927681962221,0.215300709312928,-0.139230171738196,0.149176213316308,0.13895189865151,0.098860401565407,0.0129220641242613,0.0576766412764152,0.0505331827504839,0.0145074089079777,0.0695302527580278,0.12776410589513,-0.0975416314540418,-0.0755063660160408,0.0342960479934676,0.0756368567148229,0.0195213944485236,0.0524142284031059,-0.0241796556193
"mch",0.276432028284153,0.363385060045429,0.231689688415419,0.32232216649958,1,0.581114228223202,-0.298552972544302,-0.463210467931581,0.00689207956868025,-0.0109190155409017,0.0216444523300545,-0.00655074788485793,0.0678174901119636,-0.0530537496387017,0.038570884544453,0.0646656029538938,0.0730698376220868,-0.0286656806518396,-0.079366856230217,0.0027062591761735,-0.0365524171254392,-0.0686775883987898,0.0211721084851773,0.0526576213759191,0.00133265381026104,0.0465872126813947,0.0365250474657486,0.0140238629622543,0.0433505267970423,-0.00404276760522485
"mchc",0.188040692234102,0.413243962473571,0.161864658585026,0.227485572146337,0.581114228223202,1,0.0518791780263736,-0.45781516263004,0.014398738769639,-0.0542812638094832,-0.0863715081710124,-0.112505325648175,0.0979663692217497,-0.109663672698427,0.066505753662401,0.0180318609395274,0.0328047360814888,-0.117976022450455,-0.0154093494946371,0.00921394858847071,-0.0241199048357351,-0.0570026123849727,-0.0619865689303279,0.079154957894866,0.0307885109472449,0.0860538588932586,-0.063342031447475,0.0219279956494629,0.0182535999825096,0.0683988731446549
"rbc",0.20439183702789,0.768355553172612,0.822096960055449,0.148879038993001,-0.298552972544302,0.0518791780263736,1,-0.102441869277196,0.159180782297465,-0.1150837634655,0.00740460910012933,0.0338488627093098,0.298652399854313,0.0026269775406634,0.215588834550477,0.103763135227726,0.187857920646248,-0.0587932986428582,0.229832098448419,0.206114635129386,-0.00736434941653636,-0.0123480469387103,0.0445300424340424,0.0020211580885617,0.0676880874992675,0.129824194506186,-0.232369514973905,0.0903306491309654,0.0197760151558376,0.233377763497398
"rdw",-0.162460756539043,-0.383560996985452,-0.302726095509999,-0.261570154001719,-0.463210467931581,-0.45781516263004,-0.102441869277196,1,-0.0461482233789672,0.111860260093443,0.122322930217918,0.156088059178851,-0.146409175400966,0.175698029524076,-0.0991128620557764,-0.0283569580703555,0.0306801135179337,0.337422347844868,-0.0288320973213909,0.0796195718815382,-0.0371053465511961,-0.0109255779362253,-0.00631070342269208,0.00833251187196541,0.0253465322392027,-0.0417974516897208,0.0276104460485327,-0.0039481467604577,-0.00726696501490396,-0.0399941534662484
"ca",0.131472697752529,0.170309735058189,0.176321631925105,0.126691636602501,0.00689207956868025,0.014398738769639,0.159180782297465,-0.0461482233789672,1,-0.0342989993073723,0.153230966145227,0.131645407058184,0.426083756077626,0.0378700207338017,0.0427216120257574,0.123220246646515,0.108960298242866,0.109163285337172,0.332995745619722,0.123713795481733,-0.0169242282580305,0.0789819671893276,0.0232513928213519,-0.0674798794006431,0.0207692493699594,0.0520172137291903,0.0563967057651034,0.099130147427922,0.131233372839181,0.0444348388938959
"cl",-0.0831019097818349,-0.122947884243063,-0.116140663448983,-0.0965960633875022,-0.0109190155409017,-0.0542812638094832,-0.1150837634655,0.111860260093443,-0.0342989993073723,1,0.141582689361138,0.507873467813108,-0.136453039373112,0.00968378482165724,-0.118042660834442,-0.0867702425045752,-0.0900566116987376,0.205963260356564,-0.219460023405679,-0.0835155340287765,-0.0419628871218712,0.0581406898450643,-0.142961331047069,-0.00515749950893745,-0.0592652187792031,-0.0321447040542713,-0.0343486498239721,0.0255812233644626,-0.00328744205185929,0.00732593100641433
"k",0.0721703193956523,0.0238216186357498,0.0509389326645488,-0.022699516824989,0.0216444523300545,-0.0863715081710124,0.00740460910012933,0.122322930217918,0.153230966145227,0.141582689361138,1,0.187919936078271,0.0273668848186538,0.101681993919257,0.0393945691701897,0.0465954288181828,0.100786811593392,0.169885868599464,-0.00937679313658631,0.0963911215668679,0.00268285047730368,-0.0594050662536561,0.0104081992805058,0.0380284852390941,-0.00115498178691619,0.0269739571589236,-0.0514215020367542,0.0662617145689431,0.0431925356577709,0.0735074984091717
"sodium",0.0786129890304649,0.0311362373358649,0.0663836172409596,-0.0090927681962221,-0.00655074788485793,-0.112505325648175,0.0338488627093098,0.156088059178851,0.131645407058184,0.507873467813108,0.187919936078271,1,0.0815125063868096,0.083895747106202,0.0789480718704225,0.0555118052124693,0.0699059361414392,0.420208308181368,-0.0353170216603358,0.0790105094568057,-0.0577814947261081,0.0878791932127813,-0.0257190531288407,-0.0812629640343345,-0.160187799995163,-0.0569257199386445,-0.00406378199492852,0.0521560729902967,0.0241396029741114,0.0011373026673403
"alb",0.195211491959722,0.351798354553232,0.343600936684387,0.215300709312928,0.0678174901119636,0.0979663692217497,0.298652399854313,-0.146409175400966,0.426083756077626,-0.136453039373112,0.0273668848186538,0.0815125063868096,1,-0.0673673787654261,0.0643972891902209,0.124720239966259,0.106166256258614,0.098146324763455,0.609708354494481,0.0888356974333193,0.0262349602276622,0.105032656602902,0.0466297213754737,-0.0980688150219951,-0.0805375924338841,-0.000976497578138553,-0.0218099767758218,0.105163160787008,0.0879950223594722,0.0906418807102806
"alkp",0.0567807973683523,-0.0374917412567876,-0.00562072414793833,-0.139230171738196,-0.0530537496387017,-0.109663672698427,0.0026269775406634,0.175698029524076,0.0378700207338017,0.00968378482165724,0.101681993919257,0.083895747106202,-0.0673673787654261,1,0.063745053650843,0.0794712688053756,0.254606497557266,0.176695546991348,0.0840508907873719,0.100165372562997,-0.0649068185401955,-0.0948428824924892,-0.0692188912862966,0.10955905788729,0.0732462523773411,0.115155647218907,-0.0684829159971449,0.0604867069418344,0.0616069570278309,0.104190496629624
"alt",0.208252063032969,0.244185789311075,0.238714277073333,0.149176213316308,0.038570884544453,0.066505753662401,0.215588834550477,-0.0991128620557764,0.0427216120257574,-0.118042660834442,0.0393945691701897,0.0789480718704225,0.0643972891902209,0.063745053650843,1,0.697795576061955,0.506609180767187,0.132760425059351,0.064437057243772,0.136826488642259,0.0261234330426286,0.102713952615777,0.201165528387018,-0.168832976905631,-0.0642471695955041,-0.00670684247697935,-0.116942737432255,-0.0506510252453121,-0.0929149986928222,0.0659054469535521
"ast",0.175899632954987,0.151334963511726,0.153478278447602,0.13895189865151,0.0646656029538938,0.0180318609395274,0.103763135227726,-0.0283569580703555,0.123220246646515,-0.0867702425045752,0.0465954288181828,0.0555118052124693,0.124720239966259,0.0794712688053756,0.697795576061955,1,0.392206556038046,0.284624878945117,0.154277821135871,0.128087204163601,0.0326850554386474,0.099618165676752,0.272354478346487,-0.175754597478692,-0.103491922209669,-0.0640953444568442,0.0194783749457153,-0.0845757046478193,-0.0817269327672249,-0.0521201419900003
"ggt",0.30974336798314,0.237670510386857,0.242419795453999,0.098860401565407,0.0730698376220868,0.0328047360814888,0.187857920646248,0.0306801135179337,0.108960298242866,-0.0900566116987376,0.100786811593392,0.0699059361414392,0.106166256258614,0.254606497557266,0.506609180767187,0.392206556038046,1,0.135790499993483,0.149774847486358,0.283869217481968,0.0105074767402302,0.0508360792379454,0.101517909860624,-0.0953440343166915,0.00634131414874925,0.173090510958871,-0.131312405448858,0.0240304013608382,0.0266819985212454,0.164723110577411
"ldh",0.128707290712344,-0.0740832045711236,-0.0446294889108384,0.0129220641242613,-0.0286656806518396,-0.117976022450455,-0.0587932986428582,0.337422347844868,0.109163285337172,0.205963260356564,0.169885868599464,0.420208308181368,0.098146324763455,0.176695546991348,0.132760425059351,0.284624878945117,0.135790499993483,1,0.0627570074390373,0.0783053805495113,-0.0586042437129709,0.0981178867758216,0.129180081169548,-0.124059198569529,-0.167268246733072,-0.0931107503497638,0.106004420539383,0.0167350024582062,0.0276176673616063,-0.0933701846743587
"tot_prot",0.135410557913468,0.176998752310875,0.193399246544616,0.0576766412764152,-0.079366856230217,-0.0154093494946371,0.229832098448419,-0.0288320973213909,0.332995745619722,-0.219460023405679,-0.00937679313658631,-0.0353170216603358,0.609708354494481,0.0840508907873719,0.064437057243772,0.154277821135871,0.149774847486358,0.0627570074390373,1,0.139020311629253,0.0287375052876046,0.0851335406729979,0.0670524574757335,-0.100850601336486,-0.00932585346331825,0.0401380640357113,-0.049408729493889,0.101053485924102,0.0831877108204124,0.11606566277677
"uric_ac",0.295682467180529,0.208192555066827,0.216917649576221,0.0505331827504839,0.0027062591761735,0.00921394858847071,0.206114635129386,0.0796195718815382,0.123713795481733,-0.0835155340287765,0.0963911215668679,0.0790105094568057,0.0888356974333193,0.100165372562997,0.136826488642259,0.128087204163601,0.283869217481968,0.0783053805495113,0.139020311629253,1,0.00390815827532616,-0.0519331908953019,0.0746955768885554,-0.0019380807487245,0.113481699275829,0.261717604053658,-0.308887294617276,0.0339971604014544,-0.0138350931392204,0.282355959449791
"baso_p",-0.0513771827127419,-0.0324902441786504,-0.0286191034572939,0.0145074089079777,-0.0365524171254392,-0.0241199048357351,-0.00736434941653636,-0.0371053465511961,-0.0169242282580305,-0.0419628871218712,0.00268285047730368,-0.0577814947261081,0.0262349602276622,-0.0649068185401955,0.0261234330426286,0.0326850554386474,0.0105074767402302,-0.0586042437129709,0.0287375052876046,0.00390815827532616,1,0.0648492993357529,0.103311557611636,-0.169877526967141,-0.135372471780802,0.0231082223988694,0.00497733390780191,0.0147961740039363,0.0282280733910769,0.0153781604827229
"lympho_p",0.015278774505532,-0.0431485043330102,-0.0367146234889717,0.0695302527580278,-0.0686775883987898,-0.0570026123849727,-0.0123480469387103,-0.0109255779362253,0.0789819671893276,0.0581406898450643,-0.0594050662536561,0.0878791932127813,0.105032656602902,-0.0948428824924892,0.102713952615777,0.099618165676752,0.0508360792379454,0.0981178867758216,0.0851335406729979,-0.0519331908953019,0.0648492993357529,1,0.0262577366935495,-0.933672551701203,-0.3023253686894,-0.085566568970876,0.0335448155441744,0.0451983911105873,0.0281850237957691,-0.00489856808939593
"mono_p",0.0587173338822199,0.0757378866354101,0.0897653557504879,0.12776410589513,0.0211721084851773,-0.0619865689303279,0.0445300424340424,-0.00631070342269208,0.0232513928213519,-0.142961331047069,0.0104081992805058,-0.0257190531288407,0.0466297213754737,-0.0692188912862966,0.201165528387018,0.272354478346487,0.101517909860624,0.129180081169548,0.0670524574757335,0.0746955768885554,0.103311557611636,0.0262577366935495,1,-0.247442752747243,-0.156444724277017,-0.0821865211078856,0.00105067577810896,-0.109083676459757,-0.12056124571601,-0.0708604858622325
"neut_p",-0.0385265406955969,0.0188522396416333,0.0062390264218443,-0.0975416314540418,0.0526576213759191,0.079154957894866,0.0020211580885617,0.00833251187196541,-0.0674798794006431,-0.00515749950893745,0.0380284852390941,-0.0812629640343345,-0.0980688150219951,0.10955905788729,-0.168832976905631,-0.175754597478692,-0.0953440343166915,-0.124059198569529,-0.100850601336486,-0.0019380807487245,-0.169877526967141,-0.933672551701203,-0.247442752747243,1,0.355880323662661,0.110126052896345,-0.0237039800252713,-0.00265869460180805,0.0199484664506831,0.0252846942510957
"wbc",0.0104532372007939,0.0809338932997121,0.0680168716325753,-0.0755063660160408,0.00133265381026104,0.0307885109472449,0.0676880874992675,0.0253465322392027,0.0207692493699594,-0.0592652187792031,-0.00115498178691619,-0.160187799995163,-0.0805375924338841,0.0732462523773411,-0.0642471695955041,-0.103491922209669,0.00634131414874925,-0.167268246733072,-0.00932585346331825,0.113481699275829,-0.135372471780802,-0.3023253686894,-0.156444724277017,0.355880323662661,1,0.266565818286076,-0.163558029503361,-0.00819622372263271,0.00258240332482464,0.155801767511451
"trig",0.135329599284547,0.1596862542508,0.145228198720517,0.0342960479934676,0.0465872126813947,0.0860538588932586,0.129824194506186,-0.0417974516897208,0.0520172137291903,-0.0321447040542713,0.0269739571589236,-0.0569257199386445,-0.000976497578138553,0.115155647218907,-0.00670684247697935,-0.0640953444568442,0.173090510958871,-0.0931107503497638,0.0401380640357113,0.261717604053658,0.0231082223988694,-0.085566568970876,-0.0821865211078856,0.110126052896345,0.266565818286076,1,-0.433841668491111,0.218310916833472,0.326166827734736,0.627834714375686
"hdl",-0.163611115255822,-0.205225024326471,-0.198928030020661,0.0756368567148229,0.0365250474657486,-0.063342031447475,-0.232369514973905,0.0276104460485327,0.0563967057651034,-0.0343486498239721,-0.0514215020367542,-0.00406378199492852,-0.0218099767758218,-0.0684829159971449,-0.116942737432255,0.0194783749457153,-0.131312405448858,0.106004420539383,-0.049408729493889,-0.308887294617276,0.00497733390780191,0.0335448155441744,0.00105067577810896,-0.0237039800252713,-0.163558029503361,-0.433841668491111,1,-0.0339721938701591,0.237776753846825,-0.706655188099509
"ldl",0.0875182118122893,0.100587633855452,0.102148093271718,0.0195213944485236,0.0140238629622543,0.0219279956494629,0.0903306491309654,-0.0039481467604577,0.099130147427922,0.0255812233644626,0.0662617145689431,0.0521560729902967,0.105163160787008,0.0604867069418344,-0.0506510252453121,-0.0845757046478193,0.0240304013608382,0.0167350024582062,0.101053485924102,0.0339971604014544,0.0147961740039363,0.0451983911105873,-0.109083676459757,-0.00265869460180805,-0.00819622372263271,0.218310916833472,-0.0339721938701591,1,0.911828818199362,0.589487250853756
