"","ggt","mch","rdw","pltlt","rbc","hb","ast","wbc","alkp","baso_p","tot_prot","hdl","ca","lympho_p","alb","k","vitb12"
"ggt",0.363462480220862,0.117798500066987,-0.000668089957872704,-0.00493910492456723,0.052833763748943,0.21441867641496,0.0825119910634542,0.00405116559198387,0.0409107804571895,0.00293854202387195,0.0428775546007644,-0.967549943301104,0.0161840090813507,0.332258706469227,0.0159807139598448,0.0183697965566754,0.0483217054643065
"mch",0.117798500066987,4.4660040120213,-0.0734174611141221,-0.100923409639753,-0.344894778244594,1.00482550693951,0.0597315574918799,0.0237205447705296,-0.020338847764127,-0.0243246368969939,-0.113775263298553,1.33211088551287,-0.015562419509402,-1.36258784127885,0.0462275780755583,0.0385280056217045,-0.0229898471520513
"rdw",-0.000668089957872704,-0.0734174611141221,0.00675366880594788,-0.000663500407796569,-0.0024146949850472,-0.0421724291017749,-0.0016532688234288,-0.000547517714187647,0.00353569714085588,-0.00167347337287276,-0.00173461821813988,0.00295391542777009,-0.00191713463327271,-0.0119192201625776,-0.00548250591229496,0.00224823064063612,-0.0014244963834636
"pltlt",-0.00493910492456723,-0.100923409639753,-0.000663500407796569,0.0737514660900365,-0.00164061352068032,-0.0502028585669974,-0.00825266463586391,0.0218706153949042,0.00228626002008324,0.00749169310100149,0.0153408533909214,0.141437113201454,0.00704767783096259,-0.0986047369987987,-0.00383601011419957,0.0013543230535922,0.00277286405100116
"rbc",0.052833763748943,-0.344894778244594,-0.0024146949850472,-0.00164061352068032,0.216072519294743,0.493601179661967,0.0201632999208368,0.0121292087977033,0.000245338797272068,0.00122471163442643,0.0583062863124917,-1.77683263077475,0.0347428814050691,0.0519422689375937,0.0546652547166139,0.00687184693299389,0.00429467799672909
"hb",0.21441867641496,1.00482550693951,-0.0421724291017749,-0.0502028585669974,0.493601179661967,1.97131495053803,0.0894161809572988,0.0478896101443397,-0.00836925006884298,-0.00770841759729903,0.125692779134056,-4.76925116774125,0.100636716740551,-0.461467649023145,0.189759965205919,0.0381524734590218,0.00138513939622416
"ast",0.0825119910634542,0.0597315574918799,-0.0016532688234288,-0.00825266463586391,0.0201632999208368,0.0894161809572988,0.112457574462745,-0.00565713363094313,0.00957988560840109,0.00420251297599375,0.0349813641077123,0.121146973264132,0.0141792661405244,0.180711999562947,0.0175645249028518,0.00361994129120868,0.0287345998398892
"wbc",0.00405116559198387,0.0237205447705296,-0.000547517714187647,0.0218706153949042,0.0121292087977033,0.0478896101443397,-0.00565713363094313,0.0794578761772237,0.00917433465036131,-0.00833734610857573,-0.00281210197320085,-0.745836907507347,0.00289857092464402,-0.841601297261526,-0.00663990842597296,-0.00232817291964869,-0.0121009858873817
"alkp",0.0409107804571895,-0.020338847764127,0.00353569714085588,0.00228626002008324,0.000245338797272068,-0.00836925006884298,0.00957988560840109,0.00917433465036131,0.100483778817139,-0.00307840478419094,0.010967793361202,-0.389949705794467,0.00210006496967787,-0.191712699111675,-0.00910609480948946,0.00717738817304638,-0.00204272846081446
"baso_p",0.00293854202387195,-0.0243246368969939,-0.00167347337287276,0.00749169310100149,0.00122471163442643,-0.00770841759729903,0.00420251297599375,-0.00833734610857573,-0.00307840478419094,0.0662389727319584,0.00633698232848156,0.0215819497314736,-0.000747003338570836,0.214641330366348,0.00242027871316923,-0.0011046982119226,0.00471536592118381
"tot_prot",0.0428775546007644,-0.113775263298553,-0.00173461821813988,0.0153408533909214,0.0583062863124917,0.125692779134056,0.0349813641077123,-0.00281210197320085,0.010967793361202,0.00633698232848156,0.256573403563445,-0.473780314799662,0.0682254503997689,0.367248080197858,0.10864088015584,-0.00301775079982101,0.0287864937000959
"hdl",-0.967549943301104,1.33211088551287,0.00295391542777009,0.141437113201454,-1.77683263077475,-4.76925116774125,0.121146973264132,-0.745836907507347,-0.389949705794467,0.0215819497314736,-0.473780314799662,264.856663544451,0.4660202677965,4.57771561439075,-0.326438714807489,-0.190430800184896,0.837711010143054
"ca",0.0161840090813507,-0.015562419509402,-0.00191713463327271,0.00704767783096259,0.0347428814050691,0.100636716740551,0.0141792661405244,0.00289857092464402,0.00210006496967787,-0.000747003338570836,0.0682254503997689,0.4660202677965,0.186345728340466,0.292356568007057,0.0714695394004213,0.016728245821183,-0.0051489220181739
"lympho_p",0.332258706469227,-1.36258784127885,-0.0119192201625776,-0.0986047369987987,0.0519422689375937,-0.461467649023145,0.180711999562947,-0.841601297261526,-0.191712699111675,0.214641330366348,0.367248080197858,4.57771561439075,0.292356568007057,78.9376685417125,0.300645270960769,-0.0764924922644062,0.220312464487388
"alb",0.0159807139598448,0.0462275780755583,-0.00548250591229496,-0.00383601011419957,0.0546652547166139,0.189759965205919,0.0175645249028518,-0.00663990842597296,-0.00910609480948946,0.00242027871316923,0.10864088015584,-0.326438714807489,0.0714695394004213,0.300645270960769,0.134397051082654,0.00650161434389446,0.00119565911958333
"k",0.0183697965566754,0.0385280056217045,0.00224823064063612,0.0013543230535922,0.00687184693299389,0.0381524734590218,0.00361994129120868,-0.00232817291964869,0.00717738817304638,-0.0011046982119226,-0.00301775079982101,-0.190430800184896,0.016728245821183,-0.0764924922644062,0.00650161434389446,0.119795252764723,-0.0034827741638318
"vitb12",0.0483217054643065,-0.0229898471520513,-0.0014244963834636,0.00277286405100116,0.00429467799672909,0.00138513939622416,0.0287345998398892,-0.0121009858873817,-0.00204272846081446,0.00471536592118381,0.0287864937000959,0.837711010143054,-0.0051489220181739,0.220312464487388,0.00119565911958333,-0.0034827741638318,0.281603079781066
