"variable","SD"
"hb","14.0403523835338"
"hct","0.0388907546801422"
"rdw","0.0821807082346452"
"mch","2.1132922211614"
"mchc","10.0374797570312"
"pltlt","0.271572211557141"
"rbc","0.464836013336685"
"wbc","0.281882734798043"
"neut_p","0.0978282213622961"
"mono_p","0.0346014353186447"
"lympho_p","0.0888468730691815"
"baso_p","0.0257369331374114"
"ferritin","1.01649857519689"
"glu","0.190302527119487"
"ca","0.107919451542709"
"cl","3.68655389338641"
"sodium","2.94865672988131"
"k","0.3461145081685"
"vitb12","0.530662868289336"
"folate","1.03269882702439"
"chol","1.05859670804252"
"trig","0.527466718197587"
"hdl","0.421507412120182"
"alb","3.66602033658644"
"alkp","0.316991764588829"
"tot_prot","5.06530752830907"
"ggt","0.602878495404225"
"ldh","0.552632082433394"
"uric_ac","82.2496946799144"
"alt","0.497251596896639"
"ast","0.335346946404384"
