"","hb","hct","rdw","mch","mchc","pltlt","rbc","wbc","neut_p","mono_p","lympho_p","baso_p","ferritin","glu","ca","cl","sodium","k","vitb12","folate","chol","trig","hdl","alb","alkp","tot_prot","ggt","ldh","uric_ac","alt","ast"
"hb",1,0.958494733800361,-0.365494401736308,0.338651566296535,0.375454635712958,-0.131663413350534,0.756307510773179,0.12100263212004,-0.00437722644498388,0.120363076135251,-0.0369931322448486,-0.0213319438604853,0.416449675659854,0.146196369431619,0.166042296291036,-0.135554066195292,0.00347601481259028,0.0785099836619467,0.001859074413756,0.0363309981688679,0.0324567398895912,0.14875118360592,-0.20872128265536,0.368664834931502,-0.0188044466123763,0.176736603015333,0.253311443700571,-0.0559920719601698,0.250120566964292,0.263300830915678,0.189908215513001
"hct",0.958494733800361,1,-0.287191375394729,0.19547391353172,0.0987590417677522,-0.106626926896282,0.814686025870535,0.110765474218069,-0.0328354054992617,0.138027503217824,-0.0164404563867404,-0.0036223296265044,0.375425807918521,0.145879362826705,0.168486876483474,-0.136278139233281,0.0286468463795996,0.0967869779529663,0.0180717922324976,0.0527181249822288,0.0348255164754168,0.131412830752036,-0.198723746599376,0.365131275864849,0.00688647208309188,0.218173775061585,0.253565510600179,-0.056394731856117,0.247679941432506,0.252946595503613,0.18805053836538
"rdw",-0.365494401736308,-0.287191375394729,1,-0.422736675544229,-0.356676027025161,-0.0297293891218033,-0.0632109958823402,-0.0236352292291988,0.0365941096219647,-0.10230856429765,-0.0163243468757296,-0.0791210664902356,-0.222772149674265,-0.0471087489078504,-0.0540409546390944,0.156131211885814,0.148630358066066,0.0790407729487869,-0.0326642560415531,-0.235483808235902,-0.0125641626877776,-0.0590612083216914,0.00220862877189956,-0.181976102483306,0.135724171162058,-0.0416704514898157,-0.0134845131539222,0.252615594985801,0.0607394353747082,-0.117368598894262,-0.0599900522635632
"mch",0.338651566296535,0.19547391353172,-0.422736675544229,1,0.566811452413462,-0.175851886239849,-0.351097144144757,0.0398195757058504,0.0566401008475764,0.0363664424161205,-0.0725709498264251,-0.0447229062114301,0.325462801992773,0.0102365902409655,-0.0170591678714895,-0.0143747720122061,-0.0107098362133938,0.0526741055986033,-0.0205001873153025,-0.00861296509080488,0.035529308370516,0.0446538249930516,0.0387324858457309,0.0596687193084356,-0.0303611915470739,-0.106287569756154,0.0924592600024444,0.00446415285083768,0.0194442142894966,0.0859442934708907,0.0842849296222603
"mchc",0.375454635712958,0.0987590417677522,-0.356676027025161,0.566811452413462,1,-0.11367071725427,-0.0158059609529489,0.0642574602315215,0.0897219384348554,-0.0276127041838723,-0.0741075018963305,-0.0636668543235524,0.236323541289684,0.0325188882113785,0.02763202259626,-0.0326977063735227,-0.0754166283246711,-0.0403724302462241,-0.0440796141128657,-0.0386156883216591,0.00496244357114609,0.0869580297592025,-0.0756481473312169,0.0957611518191796,-0.0872044066177382,-0.0943171122861859,0.0542964275240479,-0.0129809378851064,0.0600503191719951,0.0972103509790027,0.0487293563538772
"pltlt",-0.131663413350534,-0.106626926896282,-0.0297293891218033,-0.175851886239849,-0.11367071725427,1,-0.0129963437424954,0.285697998618273,0.0488172768070617,-0.00275211810364667,-0.0408667689549444,0.10718594834971,-0.189572733147895,0.00909412700067669,0.0601175112299551,-0.160174937038853,-0.211437516073022,0.0144084458303866,0.0192408630417584,0.155082212026322,0.104609432876923,0.0971791282318185,0.0320016670682891,-0.0385300475329601,0.0265578132965408,0.111521441103669,-0.0301670699521598,-0.22073166754147,-0.0891657971815756,-0.0597790056286645,-0.0906180081658155
"rbc",0.756307510773179,0.814686025870535,-0.0632109958823402,-0.351097144144757,-0.0158059609529489,-0.0129963437424954,1,0.0925687135183578,-0.0443871901734367,0.0970521571202045,0.0125770561878906,0.0102371079150717,0.194456458631278,0.137010579785722,0.173143560958293,-0.126279101328855,0.0110705793119625,0.042712393145323,0.0174105359105099,0.0453539449869665,0.00854119760924204,0.116422553461283,-0.234877438247952,0.320786984061295,0.00166501628149815,0.247633727788376,0.188530660547623,-0.0611525454326483,0.240019607390182,0.202895497165393,0.12935031367224
"wbc",0.12100263212004,0.110765474218069,-0.0236352292291988,0.0398195757058504,0.0642574602315215,0.285697998618273,0.0925687135183578,1,0.389908905798362,-0.152451329272977,-0.336043711201389,-0.114921837176854,0.0227896403345482,0.117928068305768,0.0238207666263173,-0.089086177006043,-0.192185553443764,-0.0238631050424751,-0.0808972163686344,0.0147465782377779,0.0416952045525675,0.303199875690721,-0.162581056811319,-0.0642537891376949,0.102673442127179,-0.019695035644373,0.0238386537764916,-0.159546558415741,0.100656480804207,-0.0770773643858468,-0.0598457901229676
"neut_p",-0.00437722644498388,-0.0328354054992617,0.0365941096219647,0.0566401008475764,0.0897219384348554,0.0488172768070617,-0.0443871901734367,0.389908905798362,1,-0.224715546044242,-0.931397267077607,-0.188431116917862,-0.0372467208084748,0.040805266329832,-0.0540496263468341,0.0207418397382944,-0.0826236366585005,0.00315125511313967,-0.0956924657626413,-0.0945001660593448,0.0470962399798989,0.0942516165496362,-0.0225424575138513,-0.0856812685007051,0.082217007870996,-0.110138732065352,-0.115083991563526,-0.0702694550953753,-0.0338464649175142,-0.181451838475106,-0.135961831065845
"mono_p",0.120363076135251,0.138027503217824,-0.10230856429765,0.0363664424161205,-0.0276127041838723,-0.00275211810364667,0.0970521571202045,-0.152451329272977,-0.224715546044242,1,0.00882048617564785,0.122200708510343,0.0220255716997985,-0.0121499892314664,0.0218484805836512,-0.187065133654074,-0.0663440332613639,0.00351598520695557,0.0862599737327604,0.367796420826176,-0.125610847325293,-0.0720732962480757,0.00403126057111876,0.0691905164244637,-0.0582690522190717,0.0920644982274259,0.100119277086561,0.023070078254541,0.0784143246495365,0.200669565140421,0.245050226988157
