"variable","SD"
"hb","14.1842341326677"
"hct","0.0383366680527135"
"rbc","0.462177832083803"
"mch","2.06714221472746"
"mchc","10.9144129900761"
"pltlt","0.268643954179709"
"wbc","0.264509476904649"
"neut_p","0.0978616572238755"
"lympho_p","0.0903559641166468"
"mono_p","0.0383970218807159"
"ca","0.112576646602841"
"sodium","2.70906165030345"
"cl","3.69208215448676"
"k","0.368874384143855"
"chol","1.0697865532675"
"trig","0.487886943838139"
"glu","0.192676294147198"
"alb","3.59839506926118"
"alkp","0.315537700321984"
"alt","0.498700078027494"
"ast","0.340391423428011"
"creat","0.242702718263157"
"bun_creat","15.7656577737137"
"tot_prot","5.12075992090289"
