"","hb","rbc","mch","mchc","wbc","neut_p","lympho_p","ca","alb","alkp","creat","tot_prot"
"hb",1,0.788093812852179,0.360838406768141,0.469186410842998,0.0629840259702526,0.0518973337761911,-0.0508985344305512,0.119945117843369,0.290805720689894,-0.0632556166459876,0.0569157709042671,0.149601305031913
"rbc",0.788093812852179,1,-0.266004309402823,0.149554765710886,0.0623738077805887,0.0476569305157412,-0.0256976449010628,0.135884785563247,0.259094604903422,-0.0453628594609059,0.0348474746534838,0.19049958179576
"mch",0.360838406768141,-0.266004309402823,1,0.556210285200402,-0.0266712251175669,0.0350550319369139,-0.0621816014536654,-0.0333846611431593,0.0375092720780009,-0.0206984357334466,0.0334439869723731,-0.0665161884654375
"mchc",0.469186410842998,0.149554765710886,0.556210285200402,1,-0.0786540934759911,0.0529564068881111,-0.0284536762598447,0.00344208717352419,0.114495333103108,-0.0967661068367701,-0.0373540129886421,-0.0062708510328674
"wbc",0.0629840259702526,0.0623738077805887,-0.0266712251175669,-0.0786540934759911,1,0.204423663520615,-0.176995016385639,0.0612134305146994,0.0126731478543399,0.0878678696112109,0.0603876565650539,0.0503293239409172
"neut_p",0.0518973337761911,0.0476569305157412,0.0350550319369139,0.0529564068881111,0.204423663520615,1,-0.921208479726011,-0.00910651692166028,0.000991149491626089,0.139701512269005,0.0326146413821122,-0.0264592500729657
"lympho_p",-0.0508985344305512,-0.0256976449010628,-0.0621816014536654,-0.0284536762598447,-0.176995016385639,-0.921208479726011,1,0.042861774133581,0.0345776086258763,-0.125774636930479,-0.09301609642709,0.0201231550491475
"ca",0.119945117843369,0.135884785563247,-0.0333846611431593,0.00344208717352419,0.0612134305146994,-0.00910651692166028,0.042861774133581,1,0.404529319854993,0.0405529733216792,0.0324251909068646,0.288456373801784
"alb",0.290805720689894,0.259094604903422,0.0375092720780009,0.114495333103108,0.0126731478543399,0.000991149491626089,0.0345776086258763,0.404529319854993,1,-0.0630074543321251,-0.0505533533563681,0.623376138874795
"alkp",-0.0632556166459876,-0.0453628594609059,-0.0206984357334466,-0.0967661068367701,0.0878678696112109,0.139701512269005,-0.125774636930479,0.0405529733216792,-0.0630074543321251,1,0.0238128101866818,0.0673683966141363
"creat",0.0569157709042671,0.0348474746534838,0.0334439869723731,-0.0373540129886421,0.0603876565650539,0.0326146413821122,-0.09301609642709,0.0324251909068646,-0.0505533533563681,0.0238128101866818,1,0.00213989859923878
"tot_prot",0.149601305031913,0.19049958179576,-0.0665161884654375,-0.0062708510328674,0.0503293239409172,-0.0264592500729657,0.0201231550491475,0.288456373801784,0.623376138874795,0.0673683966141363,0.00213989859923878,1
