"variable","SD"
"ca","0.103797179823034"
"cl","3.44387485324753"
"k","0.37575324379398"
"mg","0.134006655333908"
"sodium","2.96057917468886"
"p","0.17105821559273"
"ferritin","1.04304075814447"
"hb","15.1323048745106"
"hct","0.0425395446207592"
"iron","6.35011833227406"
"mch","2.2362955263813"
"mchc","10.3239017989441"
"rbc","0.496184485428191"
"rdw","0.0961263839957085"
"alb","3.80177282111551"
"alkp","0.334357517780615"
"alt","0.499596286533025"
"ast","0.331545947015915"
"ggt","0.626109552887642"
"ldh","0.56811130781782"
"tot_prot","5.10568639199017"
"uric_ac","86.8343133620308"
"baso_p","0.0273105300079912"
"lympho_p","0.0904615621439441"
"mono_p","0.0303578450112107"
"neut_p","0.100271929654235"
"wbc","0.291286616459814"
"trig","0.514449717551429"
"hdl","0.425541592774549"
"ldl","0.938318062387273"
"chol","1.09083829870507"
"chol_hdl","1.53154052322242"
"vitb12","0.506538827096923"
"folate","0.87448393964725"
"vita","1.0305527179292"
"g_toco","0.794505235896503"
"b_cryp","0.722618436252566"
"a_carot","2.12110094703187"
"vitd_tot","0.50653522794305"
