"","ca","cl","k","mg","sodium","p","ferritin","hb","hct","iron","mch","mchc","rbc","rdw","alb","alkp","alt","ast","ggt","ldh","tot_prot","uric_ac","baso_p","lympho_p","mono_p","neut_p","wbc","trig","hdl","ldl","chol","chol_hdl","vitb12","folate","vita","g_toco","b_cryp","a_carot","vitd_tot"
"ca",1,-0.0454376367781743,0.174291196276137,0.094462769234998,0.149554272535564,0.131898203330419,0.154264332366331,0.202664429525712,0.21691162581993,0.111235941664463,0.0125714253966574,-0.0117563556000866,0.192922475072791,-0.0621549485007641,0.456570557124431,-0.00284224691149559,0.0511974356670838,0.117537598709807,0.0998261873210719,0.099309525231541,0.345751579711062,0.111203249666987,-0.00712103098861934,0.103457291342684,0.0302731484692224,-0.0948280094167066,-0.0245306703380871,0.016275770262807,0.050000504544614,0.113491470777355,0.116833189310205,0.0626340158179806,0.0842278982474213,-0.0401613691704636,0.0149801173339589,-0.0644398917494811,0.0188881401517185,-0.0646933094350681,0.0745202869158559
"cl",-0.0454376367781743,1,0.115675989621088,0.152694778913215,0.517647302301188,-0.0345203446197097,-0.101480539264291,-0.11350698426895,-0.110655623831989,-0.0937242434939484,-0.0456029751850244,-0.03823851649326,-0.0848064724601,0.101582361357664,-0.0940819411878857,0.0117062866764205,-0.0526854866746865,-0.0595959110322168,-0.0966555662907606,0.234509128379144,-0.188933146298273,-0.0820304842030491,-0.0633950234944226,0.0851623507523432,-0.142035618123269,-0.0317405880393145,-0.0782012815398097,-0.0758673516879074,-0.0458992085218338,0.0162399937911257,-0.0505296068774469,0.0419000631691924,-0.117808551201882,-0.334193660903525,-0.390398489786817,-0.227499711245471,-0.0132385327873921,-0.236480577899179,-0.0297591878295477
"k",0.174291196276137,0.115675989621088,1,0.105069757874769,0.190409752122167,0.0548303814964494,0.113281328512856,0.0301700815835249,0.0585054209826423,-0.00224326704342407,0.0257976290132281,-0.0961354825284978,0.0107111677486588,0.128433119974942,0.101957462827407,0.115711571907958,0.0337794567389101,0.0420755440504886,0.128400329827488,0.238691350185376,0.0283989123426942,0.125774955290856,-0.010139501193362,0.00884969514458337,0.00687930607087167,-0.0278989455070006,-0.0550398999354318,0.00351601837355758,-0.0584802841948514,0.103738243210267,0.0696572524985322,0.0417867815617927,0.0148281266210489,-0.176599536566394,-0.0541438346256568,-0.0676926167395612,-0.00567358514722282,-0.219245187776916,0.04943230710455
"mg",0.094462769234998,0.152694778913215,0.105069757874769,1,0.124577139536186,NA,-0.0546493828187196,0.0498487499680171,0.0760281422228643,-0.00234961679593706,-0.0048012777311801,-0.0813286128679898,0.0528607364307054,0.013660514010711,0.0875399850385814,0.0112993118905401,-0.00359800070130195,0.0384244414203151,-0.0320172801583647,0.121374047195851,0.0141610937268989,-0.0542108503006682,0.0109186304759931,-0.0339207527398337,0.03130198719519,0.0283922839665801,-0.00444992865851726,-0.0163083096028524,0.0204801097143817,0.0452247206776231,0.0275609976646872,0.0329823047152891,0.0243776874309831,0.00878047483538438,-0.185138332954657,-0.203465669890943,-0.00292771193370288,0.00231882144746043,0.0764887297754919
"sodium",0.149554272535564,0.517647302301188,0.190409752122167,0.124577139536186,1,-0.0183622786582243,0.107835399841907,0.0599061688760968,0.0989410154287857,-0.0119428706680851,-0.0149838700506492,-0.124073504470194,0.0676191445177832,0.146048359618863,0.192550928165413,0.13715487710797,0.0855531209110114,0.0555639861543273,0.102222438624025,0.51198664313517,0.0318478913963169,0.108310360327673,-0.091142783945096,0.156998123253209,-0.0402846778170631,-0.140273263595958,-0.191456767207264,-0.0928589850572023,-0.0176292469227556,0.0937540258043553,0.0251150198083789,-0.0201425585632793,-0.064928395508757,-0.40728436974934,-0.37351744855968,-0.20075214361007,-0.00858877187139292,-0.426127506974396,-0.0674321842647995
"p",0.131898203330419,-0.0345203446197097,0.0548303814964494,NA,-0.0183622786582243,1,-0.0966674573373346,-0.1594221029252,-0.169850840366956,-0.0918050777716476,-0.00126946025609026,0.0083348704476698,-0.158318738010896,0.0510103150503841,-0.0877096146028058,0.036053544376863,-0.0348701460536496,-0.0298112647497483,-0.0849265646868479,-0.01496083361765,-0.0523670520255882,-0.113416044244232,0.026219982433955,0.0103025831790322,-0.021885150696893,-0.00230357394376724,0.127799009401333,0.0177062043186399,0.142223129928648,-0.0247949132830657,0.0484389269410885,NA,0.020437728075591,0.0282222434467477,-0.00494526739152931,0.021116549742838,0.0207956465148006,0.00255254132418038,0.0176456799785787
"ferritin",0.154264332366331,-0.101480539264291,0.113281328512856,-0.0546493828187196,0.107835399841907,-0.0966674573373346,1,0.411150898349975,0.385929657153596,0.288434623643042,0.289268579432673,0.177142864937687,0.222507005735549,-0.184293795266718,0.252336412047894,0.0662769331074768,0.246220290538411,0.209809618497085,0.369898589467123,0.135814526668071,0.166354266533817,0.33051243995642,-0.0522014256223724,0.0671674942671671,0.0799732442042236,-0.0949520096721782,-0.0493165270569728,0.110189876132128,-0.172094143018311,0.0931206280308691,0.0468812020681908,0.0356401014246965,0.0885486811575538,-0.101222516099908,0.0954261982499386,0.00600287237949792,-0.115149151501947,-0.143656027366656,-0.0158597006366856
"hb",0.202664429525712,-0.11350698426895,0.0301700815835249,0.0498487499680171,0.0599061688760968,-0.1594221029252,0.411150898349975,1,0.96425932023141,0.399016693108906,0.364751984117612,0.368440862610176,0.766069723754117,-0.432597412892338,0.402018844774022,-0.053332962873004,0.29698818657112,0.199635674257624,0.21940685573924,-0.0294367236078372,0.21006605511913,0.192004124117685,-0.0449912163015193,0.0160518471839661,0.0921990687057162,-0.0391409135550711,0.0378159089710076,0.0942522099874696,-0.173545152983665,0.113961905688649,0.0225996281471575,0.0345117689096629,0.0277467004085525,0.0372846215943225,0.0763469951529197,-0.116913157697804,-0.0542524487489221,0.0888547062432166,0.196516991451152
"hct",0.21691162581993,-0.110655623831989,0.0585054209826423,0.0760281422228643,0.0989410154287857,-0.169850840366956,0.385929657153596,0.96425932023141,1,0.355492204935423,0.233116971954822,0.118843051001092,0.821663472030149,-0.353300116412845,0.403117492933329,-0.0241702122161947,0.290226726537337,0.198602699606221,0.23141714863552,-0.000378494923266809,0.239458683958449,0.200577026363534,-0.0396898261801031,0.0381006128686694,0.102181686846154,-0.0650316697125935,0.0218873685103049,0.0736884634065684,-0.174567804919077,0.116359007179968,0.0184351907317904,0.0408120097873761,0.0372463959935188,0.0244008535695475,0.0640928201982355,-0.111818281286878,-0.0521137299961541,0.0686156323273864,0.157190998502731
"iron",0.111235941664463,-0.0937242434939484,-0.00224326704342407,-0.00234961679593706,-0.0119428706680851,-0.0918050777716476,0.288434623643042,0.399016693108906,0.355492204935423,1,0.338939433182635,0.23444389490441,0.173926265804642,-0.295232544250854,0.215724743111695,-0.121099902245418,0.16488123495451,0.166676763047681,0.09120424848774,0.00717114732616387,0.0718221615085142,0.0526187924026362,-0.00596994083319074,0.0611247069031723,0.119531779398901,-0.0834925515140612,-0.0810416679022257,0.0299700245064495,0.0866758924050096,0.0182231206666769,0.0417939802986784,-0.066135431865867,0.011543237786909,0.101665619658464,0.107796808065008,-0.1335972461962,0.0421506911770359,0.0854972288125783,0.216279909789805
