"variable","mean"
"ca","2.3384722496558"
"cl","104.168236440403"
"k","4.11125354357995"
"mg","0.845971843322335"
"sodium","139.883403702501"
"p","1.18903480050665"
"ferritin","4.2342529699459"
"hb","137.695352950163"
"hct","0.408220191318751"
"iron","15.6221247158168"
"mch","30.36768370353"
"mchc","337.100184600126"
"rbc","4.54443036304708"
"rdw","2.5803314269638"
"alb","41.3525980174259"
"alkp","4.27338539099992"
"alt","3.0280698946161"
"ast","3.08954141074131"
"ggt","3.07454834234073"
"ldh","5.27069930064554"
"tot_prot","71.7799597353314"
"uric_ac","308.830428744801"
"baso_p","0.071900281793019"
"lympho_p","0.304135751499375"
"mono_p","0.0757250715353614"
"neut_p","0.584903201735999"
"wbc","1.84269966824732"
"trig","0.222002046004289"
"hdl","1.45188426599545"
"ldl","3.1143510106383"
"chol","5.26691515102306"
"chol_hdl","4.66814544302156"
"vitb12","5.77635638048785"
"folate","3.20285486822097"
"vita","1.52352550179396"
"g_toco","1.40281595452165"
"b_cryp","-1.87024288357344"
"a_carot","-4.42872374543646"
"vitd_tot","3.867704452491"
