"","hb","hct","alb","iron","rbc","rdw","a_g","mchc","alt","mch","ca","il6","crp","ast"
"hb",1,0.944522619538195,0.344879925828489,0.393483900905161,0.778170401603125,-0.373473935761424,0.216917271119434,0.403833232940111,0.286459938119964,0.318855517339349,0.171779023679302,-0.143010149100712,-0.195620691027714,0.175073193546672
"hct",0.944522619538195,1,0.321639046434186,0.33350313682667,0.814338213890251,-0.260510337516688,0.195246420652572,0.0841658754723728,0.242490929463442,0.180645759129039,0.18170760152464,-0.117233842852806,-0.151856351242823,0.143457251110761
"alb",0.344879925828489,0.321639046434186,1,0.246295031686507,0.275515211635758,-0.169663494347739,0.59899099492806,0.147593270998773,0.0174116854317208,0.0967958639857289,0.435315320175869,-0.24258216626987,-0.205464890274395,0.121051560337956
"iron",0.393483900905161,0.33350313682667,0.246295031686507,1,0.181767339765628,-0.297368881135509,0.189982426238241,0.269130009167757,0.183770409546052,0.328157725932311,0.131491420187676,-0.248737591376282,-0.296599527592119,0.165583578013416
"rbc",0.778170401603125,0.814338213890251,0.275515211635758,0.181767339765628,1,-0.105257296129289,0.113296340856813,0.0809123622505513,0.230737271118715,-0.335136124024102,0.155924783980234,-0.110530865329121,-0.131995109065756,0.11181055074092
"rdw",-0.373473935761424,-0.260510337516688,-0.169663494347739,-0.297368881135509,-0.105257296129289,1,-0.0933535183293787,-0.420220249123322,-0.279334376752188,-0.395540665706699,-0.0906315588215632,0.217970350370553,0.234009275932136,-0.150237232500087
"a_g",0.216917271119434,0.195246420652572,0.59899099492806,0.189982426238241,0.113296340856813,-0.0933535183293787,1,0.114812042409145,-0.0879861946768451,0.152537258689159,0.168387334925429,-0.27234036900443,-0.216474243437315,-0.0614546393982782
"mchc",0.403833232940111,0.0841658754723728,0.147593270998773,0.269130009167757,0.0809123622505513,-0.420220249123322,0.114812042409145,1,0.186364028572801,0.491942025820416,0.0160120150572776,-0.109519850981121,-0.166628771968391,0.127603932339926
"alt",0.286459938119964,0.242490929463442,0.0174116854317208,0.183770409546052,0.230737271118715,-0.279334376752188,-0.0879861946768451,0.186364028572801,1,0.080411554550351,-0.0154498154996178,-0.143350609908023,-0.255839426333009,0.653904735809285
"mch",0.318855517339349,0.180645759129039,0.0967958639857289,0.328157725932311,-0.335136124024102,-0.395540665706699,0.152537258689159,0.491942025820416,0.080411554550351,1,0.0150898397843084,-0.0518534809573492,-0.0920033975363997,0.0970491599492468
"ca",0.171779023679302,0.18170760152464,0.435315320175869,0.131491420187676,0.155924783980234,-0.0906315588215632,0.168387334925429,0.0160120150572776,-0.0154498154996178,0.0150898397843084,1,-0.0555123092581859,-0.029405364419117,0.0679132667664747
"il6",-0.143010149100712,-0.117233842852806,-0.24258216626987,-0.248737591376282,-0.110530865329121,0.217970350370553,-0.27234036900443,-0.109519850981121,-0.143350609908023,-0.0518534809573492,-0.0555123092581859,1,0.493127466290693,-0.0628894068108988
"crp",-0.195620691027714,-0.151856351242823,-0.205464890274395,-0.296599527592119,-0.131995109065756,0.234009275932136,-0.216474243437315,-0.166628771968391,-0.255839426333009,-0.0920033975363997,-0.029405364419117,0.493127466290693,1,-0.199852366855671
"ast",0.175073193546672,0.143457251110761,0.121051560337956,0.165583578013416,0.11181055074092,-0.150237232500087,-0.0614546393982782,0.127603932339926,0.653904735809285,0.0970491599492468,0.0679132667664747,-0.0628894068108988,-0.199852366855671,1
