"","alb","baso_c","bun_creat","creat","ca","chol","cl","d_bili","hct","hb","osteoc","k","rbc","sodium"
"alb",1,-0.0909325446940906,0.171483100820376,-0.135130818344152,0.386207379612464,0.148201114984016,-0.0979596244322893,-0.089120214227709,0.332996903946356,0.370685624059472,-0.0162655732653326,-0.0136593375962652,0.293177844814249,0.0906860669941857
"baso_c",-0.0909325446940906,1,-0.109083865668309,0.0769969370486981,0.022108121745756,0.145886447256488,-0.0569109641839119,0.508552878971015,-0.0747937824028435,-0.101600605583273,-0.299851845523,0.0297911446511557,-0.0969504417972093,-0.059790657621725
"bun_creat",0.171483100820376,-0.109083865668309,1,-0.328823009610903,-0.0147796057159718,0.0353188374832031,0.219150458986426,0.00947306254441885,0.0202585437233192,0.0533665630845635,-0.000860392017663219,0.0621964613414758,0.0401593543693871,0.147666166485284
"creat",-0.135130818344152,0.0769969370486981,-0.328823009610903,1,0.0101275950331391,-0.00741929713700377,-0.0124455428902248,0.1142684897703,-0.106626958811048,-0.121360256337116,0.0755365510442486,0.113756057821544,-0.124037817067215,0.00784425316876465
"ca",0.386207379612464,0.022108121745756,-0.0147796057159718,0.0101275950331391,1,0.17256708037652,-0.0793764384297552,-0.0125759435515389,0.176413429757921,0.173997895124196,0.0244683945631083,0.0768832288741843,0.155490088576109,0.0867145133389127
"chol",0.148201114984016,0.145886447256488,0.0353188374832031,-0.00741929713700377,0.17256708037652,1,-0.0858434056476985,0.304898749024586,0.0430124830422025,0.0331892332000642,-0.228092925947282,0.0277448834738356,0.013104126850598,-0.0276611404849051
"cl",-0.0979596244322893,-0.0569109641839119,0.219150458986426,-0.0124455428902248,-0.0793764384297552,-0.0858434056476985,1,-0.199395405966008,-0.0602781672356575,-0.0516013616915566,0.246012770193916,0.149280973873788,-0.0254307172226989,0.6040447889259
"d_bili",-0.089120214227709,0.508552878971015,0.00947306254441885,0.1142684897703,-0.0125759435515389,0.304898749024586,-0.199395405966008,1,-0.212046744181111,-0.237046121209362,-0.426844294460978,-0.0338982768617739,-0.254467495151284,-0.262704206491483
"hct",0.332996903946356,-0.0747937824028435,0.0202585437233192,-0.106626958811048,0.176413429757921,0.0430124830422025,-0.0602781672356575,-0.212046744181111,1,0.947077847143518,0.0405806891070287,-0.00744168252025722,0.829508121324545,0.114793038253025
"hb",0.370685624059472,-0.101600605583273,0.0533665630845635,-0.121360256337116,0.173997895124196,0.0331892332000642,-0.0516013616915566,-0.237046121209362,0.947077847143518,1,0.0388732757255362,-0.0328372512871173,0.79303522379668,0.100393708232251
"osteoc",-0.0162655732653326,-0.299851845523,-0.000860392017663219,0.0755365510442486,0.0244683945631083,-0.228092925947282,0.246012770193916,-0.426844294460978,0.0405806891070287,0.0388732757255362,1,0.108787083383329,0.0521326278372179,0.251206656643446
"k",-0.0136593375962652,0.0297911446511557,0.0621964613414758,0.113756057821544,0.0768832288741843,0.0277448834738356,0.149280973873788,-0.0338982768617739,-0.00744168252025722,-0.0328372512871173,0.108787083383329,1,-0.0339215932810521,0.0243511850711123
"rbc",0.293177844814249,-0.0969504417972093,0.0401593543693871,-0.124037817067215,0.155490088576109,0.013104126850598,-0.0254307172226989,-0.254467495151284,0.829508121324545,0.79303522379668,0.0521326278372179,-0.0339215932810521,1,0.112676464551226
"sodium",0.0906860669941857,-0.059790657621725,0.147666166485284,0.00784425316876465,0.0867145133389127,-0.0276611404849051,0.6040447889259,-0.262704206491483,0.114793038253025,0.100393708232251,0.251206656643446,0.0243511850711123,0.112676464551226,1
